X,Y,Z
79,-250,182
76,-250,180
76,-250,180
77,-251,182
78,-250,180
77,-250,181
76,-251,180
77,-249,180
78,-249,180
78,-248,181
