X_cal,Y_cal,Z_cal
-0.15225415145809393,-3.049391761938344,-1.434546093431548
-0.14071331694162612,-3.044873653121842,-1.4356991029561275
-0.15156211839307626,-3.058769287308252,-1.439295258853506
-0.1415198413564188,-3.0513461185048336,-1.438604162943044
-0.15536575776748962,-3.0594316327174105,-1.4385121079703393
-0.161078929350836,-3.053765691749212,-1.4341084905036128
-0.1415198413564188,-3.0513461185048336,-1.438604162943044
-0.13269506346367668,-3.0469721886939656,-1.439041765870979
-0.15958037187102567,-3.0566707517361285,-1.435952595938654
-0.16038689628581834,-3.0631432171191197,-1.4388576559255704
-0.158773847456233,-3.0501982863531367,-1.4330475359517376
-0.15755634831231763,-3.0471490473605867,-1.43191883711334
-0.15455923335269695,-3.052959167334419,-1.435607047983423
-0.1560577908325073,-3.0500541073475027,-1.4337629425483815
-0.16257748683064635,-3.0508606317622955,-1.4322643850685712
-0.1821365748250636,-3.0532802050066734,-1.4277687126291403
-0.17821844410087517,-3.036767868844615,-1.4208976381034326
-0.22413737442374368,-3.0364592407686977,-1.407434931471321
-0.3380213969880736,-3.0067057553610748,-1.3599899883532744
-0.3756410154970977,-3.0144499618367475,-1.3528427489094539
-0.44003145106369584,-3.0160427406016828,-1.3349521141244343
-0.4712979405607008,-3.0011761329301967,-1.3186764024781104
-0.5253026250413163,-2.947795770633016,-1.2771319955560057
-0.5862225552057408,-2.9051176245240593,-1.2387704522895258
-0.7005175524991935,-2.871940912725996,-1.1895491480229605
-0.7830726698530882,-2.8035497637516946,-1.1324444360511758
-0.8926430120075597,-2.747388250408581,-1.0734469972719867
-0.9516842600499564,-2.6844005543492346,-1.0257903560211594
-1.0977608728422263,-2.557625447518712,-0.9219544687773766
-1.1800870074965712,-2.4575343170386117,-0.8495413059878436
-1.2652436901244164,-2.3734373563170457,-0.7840669620105408
-1.3123177038777705,-2.3226736959955123,-0.7457974737167652
-1.3579452357876587,-2.2371608151756304,-0.691090835766843
-1.3654900988230552,-2.1849812347557833,-0.6635890535004484
-1.3937491332833543,-2.0847661953346988,-0.6067848171329581
-1.3902162121677506,-1.986990999222643,-0.5603784281514359
-1.4034742467864936,-1.929145477834597,-0.5284730284183142
-1.4092915696425299,-1.8481709758958667,-0.4875069007692122
-1.3870060849473016,-1.754448671922424,-0.44850124421403753
-1.3369142760801567,-1.6287053487709275,-0.40202547219539714
-1.3087490528154622,-1.5624532754980498,-0.3780504627892626
-1.3332772036918632,-1.6062387136294025,-0.3921815933962503
-1.3331627123420882,-1.5903887228765032,-0.3845273679873761
-1.326643016343949,-1.589582198461711,-0.3860259254671864
-1.3600480207494372,-1.6000872859186661,-0.3814381980550511
-1.367259749812594,-1.5915162849635502,-0.3751904751532828
-1.3599335293996622,-1.5842372951657662,-0.37378397264617685
-1.3440115137935384,-1.6042843570629133,-0.3881235238847547
-1.3527218003365056,-1.5928082961208816,-0.38003169554794514
-1.3346612698218987,-1.5874836628895868,-0.3826832625523346
-1.3535283247512981,-1.5992807615038733,-0.3829367555348614
-1.360740053814455,-1.590709760548758,-0.37668903263309333
-1.356244381375024,-1.5994249405095071,-0.3822213489382178
-1.360740053814455,-1.590709760548758,-0.37668903263309333
-1.3535283247512981,-1.5992807615038733,-0.3829367555348614
-1.3485071862329694,-1.595569177102164,-0.3825912075796302
-1.326643016343949,-1.589582198461711,-0.3860259254671864
-1.3419874902348303,-1.5947626526873713,-0.38408976505944054
-1.371588855265905,-1.6046053947351675,-0.3802851885304717
-1.3512232428566953,-1.5957133561077979,-0.3818758009829866
-1.3535283247512981,-1.5992807615038733,-0.3829367555348614
-1.3657611923327837,-1.5944213449504667,-0.3770345805883243
-1.3462021043383663,-1.5920017717060888,-0.38153025302775545
-1.3614320868794725,-1.58133223517885,-0.3719398672111354
-1.3411809658200378,-1.5882901873043795,-0.3811847050725243
-1.3477006618181768,-1.5890967117191723,-0.37968614759271396
-1.3312531801331553,-1.5967170092538612,-0.3881478345709362
-1.3550268822311087,-1.5963757015169568,-0.3810926500998199
-1.2983633017294796,-1.5074801344359336,-0.3543966906521776
-1.2365486663162943,-1.4123419103641761,-0.3261587401243837
-1.114214735390722,-1.2653000542875021,-0.29028923612330165
-1.0667194068311603,-1.228328389276045,-0.28611834997434665
-0.9884676298100387,-1.231969014462407,-0.31055882201602436
-0.8535001966509433,-1.1843683530530114,-0.32658458970124754
-0.6413994193083193,-1.1142886469057542,-0.3540675205737183
-0.454289843207564,-1.0469168720141429,-0.37562396581347046
-0.3469775922777181,-1.0398226013512923,-0.4032890963605189
-0.2493436343253845,-1.11039791528434,-0.46581494675056395
-0.13025648121315334,-1.171563024186494,-0.5299991538796466
0.01749559612213227,-1.2318889290128685,-0.6020894406495345
0.21279507765332434,-1.2928974493130516,-0.688290096361655
0.21793070752142807,-1.2733358741584433,-0.6802903229975498
0.22583446964960247,-1.2912844004834665,-0.6912872113212758
0.21781621617165306,-1.2891858649113428,-0.687944548406424
0.2055833485901676,-1.2843264483579362,-0.6820423734598869
0.22012129806625608,-1.2856184595152675,-0.6868835938545492
0.20408479111035727,-1.2814213883710197,-0.6801982680248454
0.20477682417537493,-1.290798913740928,-0.6849474334468032
0.2085804635497883,-1.290136568331769,-0.6857305843299698
0.21307613598921935,-1.2988517482925181,-0.6912629006350943
0.2962087950583566,-1.3924704133896268,-0.760771003437711
0.45005925358557336,-1.5397251191341979,-0.8768002221301403
0.5834920240672353,-1.6582175830208734,-0.9729575732788674
0.7003731615911858,-1.6937811884023284,-1.0240907272669966
0.7002483301643255,-1.800789730878659,-1.0759616882671204
0.7621934273660076,-1.8964539818222546,-1.1403264563201851
0.778911627309839,-2.0011871300598405,-1.1959776831630962
0.7384511207502288,-2.116084058017477,-1.2399859981227555
0.7440240358632622,-2.2154396232981326,-1.2898027943056523
0.6481277880230238,-2.3250243276208105,-1.3151616342833068
0.6569473108050482,-2.5162864194206787,-1.410490490677695
0.6285010292044586,-2.576584193714089,-1.4314926958103904
0.6372113157474257,-2.588060254656121,-1.4395845241471998
0.6241719237511476,-2.5896733034857067,-1.4365874091875792
0.6249784481659403,-2.583200838102715,-1.433682349200663
0.6552718462620327,-2.5827356214248267,-1.4422360911515892
0.6488666416136686,-2.56769215508672,-1.4330833082629049
0.6037021600692478,-2.523256781142545,-1.3984342865526893
0.44246886592165624,-2.4344828624275667,-1.3086549591067544
0.5681183362752563,-2.2167608437319224,-1.2395033334205514
0.37496317015853436,-2.128078154296942,-1.1405226017135688
0.176568768296288,-2.1769820266504167,-1.1067782948940954
0.04442805907921489,-2.190664652124692,-1.0751717425913407
0.0784479713324575,-2.122942499218275,-1.0522197240056652
0.16965041412062,-2.062980432768394,-1.0495525831085422
0.23040251636403583,-1.9973006854342656,-1.0352545446228065
0.2876790282389108,-1.8714143930867237,-0.9907528967433279
0.33206220509380746,-1.6511490512499551,-0.8967488634273852
0.2048834973178424,-1.5392146821328945,-0.805575047768983
-0.04661651434951109,-1.608179235789441,-0.7661279677442111
-0.2505061607122586,-1.8176556812860107,-0.8086549378673888
-0.32783637657354325,-1.9850261475681366,-0.8674543421356994
-0.3801438255664344,-2.069546575028704,-0.8933291869687595
-0.33816807554867245,-2.0574272289325757,-0.8996553117979975
-0.14787359195273686,-2.028686307904681,-0.9408926881134262
0.08805296312418529,-1.9966021899795934,-0.9937120585482008
0.3444538214541054,-1.9420785166805934,-1.0415599077872895
0.5053900868270802,-1.818245670647852,-1.0281094869700524
0.535021756549791,-1.6417072173234248,-0.9510304663611496
0.46099947328038887,-1.4608128436778411,-0.8418081269293315
0.20827107699676564,-1.43065164044599,-0.7539073196284277
-0.07142046845108929,-1.4503743533305924,-0.6823950406113068
-0.3081535479428041,-1.4889309366386712,-0.6324807301634485
-0.3858381233257683,-1.6016763792985473,-0.6646603845438521
-0.4505090718329922,-1.7906484066883948,-0.7375961071911724
-0.44568480499241947,-1.9318282438309506,-0.8075071266914994
-0.3027814986833557,-2.0153675487850435,-0.8894778993382585
0.23151132466416321,-2.0077989631882587,-1.0406879794326094
0.55667871468397,-1.8717702119506672,-1.0689384872955134
0.6491868374500158,-1.677415001710514,-1.0014482137526353
0.46706120387942773,-1.523406282274646,-0.8739235860446389
0.22410436637365233,-1.3887090595364793,-0.7381421429685839
-0.03544020928745755,-1.34008116357608,-0.6393121916304769
-0.2899894115507766,-1.3655813167735287,-0.5778956456444343
-0.5314729113020104,-1.5049623351862143,-0.5755164230164956
-0.8063922655456375,-1.6282106047281062,-0.5556339084085145
-0.8935878513803744,-1.7336499778225858,-0.5815347026783513
-0.6859301254455674,-1.8858429198042237,-0.7155657340426644
-0.4184297120199383,-1.9900736225749116,-0.843673828795685
-0.20184360231496856,-2.0198676481118345,-0.9209058115645299
0.1017303360746277,-1.986938726217594,-0.9929111414045664
0.2840677209711553,-1.8160413946686926,-0.9628378222351792
0.2531075095353139,-1.5359559048127371,-0.8179767998492198
0.06581539600971685,-1.3748709242037294,-0.6855363809374212
-0.19102854807111996,-1.3127799310738226,-0.5809640539120041
-0.530562781009797,-1.3804648831693749,-0.5153747115061755
-0.8209674110098875,-1.4092496836450048,-0.4451700535008392
-0.8762623504249337,-1.50358138330197,-0.4749065615084435
-0.9062329546258714,-1.638813731168021,-0.5318236145133932
-0.8326582966784843,-1.7919495161017722,-0.6274461199894587
-0.7098453449487224,-1.8926376326690582,-0.711891176217816
-0.4041220061782887,-1.9365120115273242,-0.8217909479381937
-0.11024687077602478,-1.863456286177803,-0.8715246974620696
-0.08621896625325272,-1.560924431244973,-0.7317133161023623
-0.1623431138382456,-1.4297371150492222,-0.6460024337119669
-0.38913806756599273,-1.3855619685833513,-0.558834517171271
-0.6356220256813848,-1.3463374679508842,-0.4683673713160646
-0.8418635744643626,-1.3260910167475277,-0.3987827874334769
-1.0515756286495135,-1.3501154904180626,-0.3496691120323495
-1.1551254303689367,-1.4210681310674365,-0.35408830339180963
-1.0706865459266466,-1.5736271999786522,-0.4525724352544501
-0.8914751015924293,-1.7861179162537015,-0.6076056717514586
-0.6265087527609532,-1.9256160059262635,-0.752083171874103
-0.35609995060494054,-1.9736671858641268,-0.8537747495987852
-0.11402348409501148,-1.8728326017381232,-0.8750151453415097
0.005932063750173365,-1.6806874264147411,-0.8165596502778344
-0.17830051910237285,-1.471908294541401,-0.6618719617360572
-0.3725387283986843,-1.2948876937928706,-0.519698841911976
-0.4788572077734471,-1.1349966853582347,-0.41132220987782553
-0.5519579298830123,-1.1251134031811383,-0.3853397467559961
-0.5932146207803298,-1.1553242447983358,-0.3880363861113224
-0.6509394735168393,-1.360231892327706,-0.4707048096709252
-0.6482852872112745,-1.606925532164616,-0.59115485847341
-0.6240891795165752,-1.9061986097772887,-0.7433679919133538
-0.4152917951947355,-2.0955276658406676,-0.8957480226553775
-0.09836655638606089,-2.093577830424056,-0.986638836296381
-0.09188514716662159,-1.4884353008747349,-0.6949164358516201
-0.3384005007641881,-1.2292394163101412,-0.4977345637227273
-0.500929680207847,-0.9903665420576255,-0.334762471625519
-0.62815466311417,-0.8384754184489426,-0.2242153091152556
-0.7225053628046205,-0.8841419933564987,-0.21902499174393592
-0.7237281170592538,-1.0828272539597847,-0.3150449440487864
-0.7158553751623351,-1.3742514354550994,-0.45869203914626094
-0.665997258710189,-1.6691776630245168,-0.6162151331176011
-0.441939041760338,-1.895814091942882,-0.7911011142441521
-0.16086977608370398,-1.703815356200074,-0.7794046541600832
-0.2795619249055343,-1.4394210079201086,-0.6167398641897865
-0.45073372006801227,-0.9399317798766603,-0.32484920978925386
-0.4682217938337439,-0.8660064593434577,-0.2839265157404931
-0.5202231349098219,-0.9854214961175959,-0.32678182117557325
-0.5943800442879003,-1.1960277642761514,-0.40744634004090763
-0.5559849215953392,-1.4552867475877793,-0.5443387262715604
-0.34940969344485245,-1.7124753258602474,-0.7289765312245539
-0.1391092120721043,-1.8158533641934682,-0.840076023571043
0.009911894648172267,-1.717450762908179,-0.8355197048879419
-0.020959590558431825,-1.4993549158588808,-0.7207634104004043
-0.22073406437488446,-1.2473141121510873,-0.5405969672006602
-0.35020171346238044,-1.045486122700315,-0.4051752787422099
-0.34847925824938736,-0.9122137312941275,-0.34103641548429947
-0.30377782707043416,-0.9155715983625955,-0.3556278209548088
-0.2949113136184324,-1.0400105007604241,-0.4185634145651813
-0.3051408377953803,-1.2079464832783375,-0.4970609519758293
-0.2504023846904875,-1.399517203154123,-0.6058525150023291
-0.05621625103052097,-1.5388835234173874,-0.7297443797352225
0.15246609654627435,-1.5507290226292874,-0.7959794741803413
