timestamp,eng_unit,acc_unit,simulated,tow,mag_x,mag_y,mag_z,amqp_topic
2025-11-18 21:38:21.852340,Microteslas,,false,2147483648,157,-336,14,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:21.929945,Microteslas,,false,2147483648,157,-336,13,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.022295,Microteslas,,false,2147483648,156,-335,12,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.090088,Microteslas,,false,2147483648,158,-335,11,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.170002,Microteslas,,false,2147483648,155,-337,13,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.250726,Microteslas,,false,2147483648,158,-337,10,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.331237,Microteslas,,false,2147483648,159,-337,11,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.426801,Microteslas,,false,2147483648,153,-337,10,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.493303,Microteslas,,false,2147483648,152,-338,11,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.577783,Microteslas,,false,2147483648,154,-338,11,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.654925,Microteslas,,false,2147483648,154,-338,9,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.734325,Microteslas,,false,2147483648,152,-337,6,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.824010,Microteslas,,false,2147483648,152,-341,6,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.895670,Microteslas,,false,2147483648,155,-340,5,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:22.976123,Microteslas,,false,2147483648,151,-339,2,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.056649,Microteslas,,false,2147483648,150,-343,1,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.138047,Microteslas,,false,2147483648,150,-341,-5,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.225624,Microteslas,,false,2147483648,146,-341,-27,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.299566,Microteslas,,false,2147483648,139,-338,-55,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.380548,Microteslas,,false,2147483648,142,-338,-55,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.459729,Microteslas,,false,2147483648,142,-341,-56,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.541544,Microteslas,,false,2147483648,136,-345,-58,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.622121,Microteslas,,false,2147483648,127,-350,-59,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.702802,Microteslas,,false,2147483648,126,-351,-61,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.782388,Microteslas,,false,2147483648,119,-354,-63,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.867943,Microteslas,,false,2147483648,113,-359,-66,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:23.943775,Microteslas,,false,2147483648,107,-363,-67,NAV.nav0.MAG_CALIBRATED
